Timestamp,,Artist?,Album Name?,"Version Number? (This is usually needed to catalog, but it's difficult to find sometimes so don't worry too much.)","Is the CD case broken (breaks in half, CD won't stay in place, etc.)?","If you know the label number but the CD case itself is missing, please fill in ""N/A"" for the required questions and select this as an option.",Anything else you’d like to add or mention?,Rateyourmusic.com ?,Other:
10/18/2023 13:19:15,1,20 Dead Flower Children,S/T,34802-2,No,,,Yes,
10/18/2023 13:21:44,2,V/A,The Remix Wars Strike 3: 16 Volt vs. Hate Dept.,,No,,"“#5 says fucking” is scribbled on the inside case,",Yes,
10/18/2023 13:23:17,3,22 Jacks,Uncle Bob,,No,,,Yes,
10/18/2023 13:25:45,4,A3,Ain’t Goin’ to Goa,CD-1130,Yes,,,,Multiple A3's with no correct album name
10/18/2023 13:27:35,5,The Absolute Zeros,Dreams Gone Sour,9053-2,No,,,Yes,
10/18/2023 13:28:38,6,ABBA,Thank you for the music,,No,,,Yes,
10/18/2023 13:30:34,7,Avoiding Oyewole,25 Years,RCD 10335,No,,Writing on the CD,Yes,
10/18/2023 13:32:38,10,Acetone,Cindy,,No,,,Yes,
3/13/2023 18:04:36,446,Blithe,Head is Mighty,Alias A104,Yes,,,Yes,
3/13/2023 18:06:31,450,Bloodstar,Anytime Anywhere,RR 9098 2,No,,,Yes,
3/13/2023 18:21:30,453,Luka Bloom,Acoustic Motorbike,Reprise 9 26670-2,No,,,Yes,
3/13/2023 18:20:34,454,The Blue Aeroplanes,Beatsongs,,No,,Damaged case but not broken,Yes,
3/13/2023 18:19:45,455,The Blue Aeroplanes,Yr Own World,,No,,,Yes,
3/13/2023 18:18:56,456,The Blue Aeroplanes,Swagger,,No,,,Yes,
3/13/2023 18:16:04,458,The Blue Aeroplanes,The Boy in the Bubble,,No,,,Yes,
3/13/2023 18:29:03,459,The Blue Aeroplanes,Rough Music,,No,,,Yes,
3/13/2023 18:27:49,461,The Blue Rags,Rag-N-Roll,,No,,,Yes,
3/13/2023 18:26:20,463,Blumfield,L’etat et Moi,,No,,,Yes,
3/13/2023 18:24:43,465,Blur,Leisure,,No,,,Yes,
2/5/2024 18:57:14,1117,David Kulgour,A feather in the Engine,MRG197,No,,,,
7/25/2024 18:14:04,1185,Schneider TM,Zoomer,mute 9185-2,Yes,,,,
3/24/2023 16:27:17,1602,The Flaming Lips,Yeah I Know It's a Drag… Wastin’ Pigs Is Still Radical,9 40244-2,No,,,Yes,
3/13/2023 18:52:13,3490,Plexi,Cheer Up,SPCD 360,No,,,Yes,
3/13/2023 18:51:02,3773,Requiem,Spite,DGR,No,,,,"4 ""Requiem""'s listed, don't know which author correct. No RYM album under any of them named ""Spite""."
3/13/2023 18:56:09,3775,The Replacements,All Shook Down,9 26298-2,No,,,Yes,
3/13/2023 18:57:15,3778,Rezillos,Can’t Stand The Rezillos: The (Almost) Complete Rezillos,9 26942-2,No,,,Yes,
3/13/2023 18:55:16,3849,The Little Death,Ruth Ruth,86480-2,No,,,Yes,
3/13/2023 17:51:51,3851,The Ryders,Zasso,Flip 78,Yes,,,Yes,
3/13/2023 17:54:03,3852,Sacrifice Issac,Migrane,Slip-ad 108,No,,,Yes,
3/13/2023 17:55:37,3855,Bally Sagoo,Tum Bin Jiya,WK 36855,Yes,,,Yes,
3/13/2023 17:57:09,3857,Saint Etienne,Nothing Can Stop Us,4/2-26793,Yes,,,Yes,
